"CPUBID_XRND","MPUBID_XRND","CRACE_XRND","CSEX_XRND","CYRB_XRND","BPI2014_2014","DIGIT2014_2014","COGNP2014_2014","MATH2014_2014","RECOG2014_2014","COMP2014_2014","PPVT2014_2014"
983704,9837,1,1,2004,50,12,42,56,70,53,138
989702,9897,1,2,2001,60,NA,90,68,75,53,NA
990602,9906,1,1,2000,70,NA,42,21,34,32,NA
995104,9951,2,1,2000,140,NA,8,37,80,39,NA
997404,9974,1,1,2001,10,NA,61,69,76,71,NA
998605,9986,2,2,2000,NA,NA,12,44,56,46,NA
1003701,10037,1,2,2000,NA,NA,23,36,64,52,NA
1030803,10308,1,1,2001,30,NA,42,72,75,61,NA
1031203,10312,1,2,2001,NA,NA,0,NA,NA,NA,NA
1033205,10332,2,2,2001,0,NA,12,47,46,40,NA
1037104,10371,1,2,2001,0,NA,NA,NA,NA,NA,NA
1052602,10526,1,1,2002,0,NA,NA,NA,NA,NA,NA
1054204,10542,1,1,2000,NA,NA,1,46,47,41,NA
1178601,11786,1,1,2005,190,8,6,37,41,37,NA
1180204,11802,2,2,2000,40,NA,23,66,48,46,NA
1183802,11838,2,2,2002,20,NA,12,47,56,51,NA
1186701,11867,3,1,2000,70,NA,61,66,78,70,NA
1187101,11871,3,1,2000,120,NA,42,64,65,48,NA
1188501,11885,1,1,2004,60,13,61,44,64,61,114
1204802,12048,3,2,2002,180,NA,61,34,76,59,NA
1211303,12113,3,1,2004,100,16,61,60,72,69,123
1211304,12113,3,2,2004,100,11,61,61,51,54,130
1214701,12147,2,2,2001,10,NA,61,52,71,67,139
1220103,12201,2,1,2000,90,NA,61,72,42,47,NA
